季節,詳細季節,親季語,親季語よみがな,子季語,文字数,表示用子季語,季語の説明,分類
haru,初春,桔梗の芽,ききょうのめ,芽桔梗,3,,秋の七草の一つであるキキョウが、早春の土から赤紫色を帯びた三角錐状の若芽を萌え出させること。初々しく力強い芽吹きの姿に、やがて気品ある紫の花を咲かせる命の息吹を感じる。,植物
haru,初春,桔梗の芽,ききょうのめ,桔梗生る,4,,秋の七草の一つであるキキョウが、早春の土から赤紫色を帯びた三角錐状の若芽を萌え出させること。初々しく力強い芽吹きの姿に、やがて気品ある紫の花を咲かせる命の息吹を感じる。,植物
haru,初春,如月菜,きさらぎな,如月菜,3,二月菜,陰暦二月（如月）頃に収穫される青菜の総称。厳しい冬の寒さを耐え抜いて甘みを蓄えた小松菜や薹（とう）立ち前の菜っ葉などで、早春の食卓に瑞々しい緑と活力を運ぶ。,植物
haru,初春,如月菜,きさらぎな,きさらぎな,5,,陰暦二月（如月）頃に収穫される青菜の総称。厳しい冬の寒さを耐え抜いて甘みを蓄えた小松菜や薹（とう）立ち前の菜っ葉などで、早春の食卓に瑞々しい緑と活力を運ぶ。,植物
haru,初春,如月菜,きさらぎな,きさらぎ菜,5,,陰暦二月（如月）頃に収穫される青菜の総称。厳しい冬の寒さを耐え抜いて甘みを蓄えた小松菜や薹（とう）立ち前の菜っ葉などで、早春の食卓に瑞々しい緑と活力を運ぶ。,植物
haru,初春,如月菜,きさらぎな,二月菜,3,,陰暦二月（如月）頃に収穫される青菜の総称。厳しい冬の寒さを耐え抜いて甘みを蓄えた小松菜や薹（とう）立ち前の菜っ葉などで、早春の食卓に瑞々しい緑と活力を運ぶ。,植物
haru,初春,烏芋,くろぐわい,烏芋,2,大黒慈姑,カヤツリグサ科の多年草。池や沼、水田に生育する。地下茎を伸ばして群落し、春に芽を出す。地下茎の先端には球根状の塊茎ができる。春、それを切り取って食用とする。食感、味とも慈姑に似る。,植物
haru,初春,烏芋,くろぐわい,大黒慈姑,4,,カヤツリグサ科の多年草。池や沼、水田に生育する。地下茎を伸ばして群落し、春に芽を出す。地下茎の先端には球根状の塊茎ができる。春、それを切り取って食用とする。食感、味とも慈姑に似る。,植物
haru,初春,烏芋,くろぐわい,くろぐわゐ,5,,カヤツリグサ科の多年草。池や沼、水田に生育する。地下茎を伸ばして群落し、春に芽を出す。地下茎の先端には球根状の塊茎ができる。春、それを切り取って食用とする。食感、味とも慈姑に似る。,植物
haru,初春,クロッカス,くろっかす,クロッカス,5,春咲サフラン,アヤメ科の球根植物。早春、まだ寒さの残る庭先や花壇の地面から、細い葉とともに紫・黄・白などの鮮やかな杯状の花を咲かせる。春の訪れをいち早く告げる可憐な草花。,植物
haru,初春,クロッカス,くろっかす,春サフラン,5,,アヤメ科の球根植物。早春、まだ寒さの残る庭先や花壇の地面から、細い葉とともに紫・黄・白などの鮮やかな杯状の花を咲かせる。春の訪れをいち早く告げる可憐な草花。,植物
haru,初春,クロッカス,くろっかす,春咲サフラン,5,,アヤメ科の球根植物。早春、まだ寒さの残る庭先や花壇の地面から、細い葉とともに紫・黄・白などの鮮やかな杯状の花を咲かせる。春の訪れをいち早く告げる可憐な草花。,植物
haru,初春,クロッカス,くろっかす,花サフラン,5,,アヤメ科の球根植物。早春、まだ寒さの残る庭先や花壇の地面から、細い葉とともに紫・黄・白などの鮮やかな杯状の花を咲かせる。春の訪れをいち早く告げる可憐な草花。,植物
haru,初春,黒文字の花,くろもじのはな,黒文字の花,5,,クスノキ科の落葉低木クロモジの花。早春、葉が出るのに先立って、枝先に淡黄緑色の小さな花が鞠（まり）のように集まって咲く。樹皮には芳香があり、高級楊枝（黒文字）の材料として知られる。,植物
haru,初春,黒文字の花,くろもじのはな,くろもじのはな,7,,クスノキ科の落葉低木クロモジの花。早春、葉が出るのに先立って、枝先に淡黄緑色の小さな花が鞠（まり）のように集まって咲く。樹皮には芳香があり、高級楊枝（黒文字）の材料として知られる。,植物
haru,初春,黒文字の花,くろもじのはな,花黒文字,4,,クスノキ科の落葉低木クロモジの花。早春、葉が出るのに先立って、枝先に淡黄緑色の小さな花が鞠（まり）のように集まって咲く。樹皮には芳香があり、高級楊枝（黒文字）の材料として知られる。,植物
haru,初春,黒文字の花,くろもじのはな,釣柴の花,4,,クスノキ科の落葉低木クロモジの花。早春、葉が出るのに先立って、枝先に淡黄緑色の小さな花が鞠（まり）のように集まって咲く。樹皮には芳香があり、高級楊枝（黒文字）の材料として知られる。,植物
haru,初春,紅梅,こうばい,紅梅,2,薄紅梅,梅のうち赤い花を咲かせる種類とその花をさす。白梅より少し遅れて暖かさが感じられる頃に開く。濃い色から淡い色、八重、一重などがある。,植物
haru,初春,紅梅,こうばい,薄紅梅,3,,梅のうち赤い花を咲かせる種類とその花をさす。白梅より少し遅れて暖かさが感じられる頃に開く。濃い色から淡い色、八重、一重などがある。,植物
haru,初春,駒返る草,こまがえるくさ,駒返る草,4,草駒返る/若返る草,「駒返る」は若返ること。冬枯れていた草が、春になって、再び生き生きしてくることをいう。,植物
haru,初春,駒返る草,こまがえるくさ,草駒返る,4,,「駒返る」は若返ること。冬枯れていた草が、春になって、再び生き生きしてくることをいう。,植物
haru,初春,駒返る草,こまがえるくさ,若返る草,4,,「駒返る」は若返ること。冬枯れていた草が、春になって、再び生き生きしてくることをいう。,植物
haru,初春,桜島大根,さくらじまだいこん,桜島大根,4,,鹿児島県桜島の火山灰土壌で栽培される世界一巨大なダイコン。早春に収穫され、カブのように丸く太り、重さは数十キロに達する。緻密で柔らかく甘みがあり、煮崩れしにくい名産品。,植物
haru,初春,桜島大根,さくらじまだいこん,さくらじまだいこん,9,,鹿児島県桜島の火山灰土壌で栽培される世界一巨大なダイコン。早春に収穫され、カブのように丸く太り、重さは数十キロに達する。緻密で柔らかく甘みがあり、煮崩れしにくい名産品。,植物
haru,初春,桜島大根,さくらじまだいこん,島大根,3,,鹿児島県桜島の火山灰土壌で栽培される世界一巨大なダイコン。早春に収穫され、カブのように丸く太り、重さは数十キロに達する。緻密で柔らかく甘みがあり、煮崩れしにくい名産品。,植物
haru,初春,三茱臾の花,さんしゅゆのはな,三茱臾の花,5,"春黄金花
",ミズキ科の落葉小高木サンシュユの花。早春、葉が出る前に木全体を覆うように黄金色の小花を無数に咲かせることから「春黄金花（はるこがねばな）」とも呼ばれ、春の光を浴びて輝く。,生活
haru,初春,三茱臾の花,さんしゅゆのはな,春黄金花,4,,ミズキ科の落葉小高木サンシュユの花。早春、葉が出る前に木全体を覆うように黄金色の小花を無数に咲かせることから「春黄金花（はるこがねばな）」とも呼ばれ、春の光を浴びて輝く。,生活
haru,初春,三茱臾の花,さんしゅゆのはな,さんしゅゆのはな,8,,ミズキ科の落葉小高木サンシュユの花。早春、葉が出る前に木全体を覆うように黄金色の小花を無数に咲かせることから「春黄金花（はるこがねばな）」とも呼ばれ、春の光を浴びて輝く。,生活
haru,初春,三茱臾の花,さんしゅゆのはな,花山茱萸,4,,ミズキ科の落葉小高木サンシュユの花。早春、葉が出る前に木全体を覆うように黄金色の小花を無数に咲かせることから「春黄金花（はるこがねばな）」とも呼ばれ、春の光を浴びて輝く。,生活
haru,初春,三茱臾の花,さんしゅゆのはな,はるこがねばな,7,,ミズキ科の落葉小高木サンシュユの花。早春、葉が出る前に木全体を覆うように黄金色の小花を無数に咲かせることから「春黄金花（はるこがねばな）」とも呼ばれ、春の光を浴びて輝く。,生活
haru,初春,下萌,したもえ,下萌,2,萌、草萌,早春、去年の枯草に隠れるように草の芽が生え出ること。下萌の「下」は「枯草の下」の意。下萌には、確かな春の訪れと厳しい冬を耐えた生命力が感じられる。,植物
haru,初春,下萌,したもえ,草の芽,3,,早春、去年の枯草に隠れるように草の芽が生え出ること。下萌の「下」は「枯草の下」の意。下萌には、確かな春の訪れと厳しい冬を耐えた生命力が感じられる。,植物
haru,初春,下萌,したもえ,春萌,2,,早春、去年の枯草に隠れるように草の芽が生え出ること。下萌の「下」は「枯草の下」の意。下萌には、確かな春の訪れと厳しい冬を耐えた生命力が感じられる。,植物
haru,初春,下萌,したもえ,萌,1,,早春、去年の枯草に隠れるように草の芽が生え出ること。下萌の「下」は「枯草の下」の意。下萌には、確かな春の訪れと厳しい冬を耐えた生命力が感じられる。,植物
haru,初春,下萌,したもえ,草萌,2,,早春、去年の枯草に隠れるように草の芽が生え出ること。下萌の「下」は「枯草の下」の意。下萌には、確かな春の訪れと厳しい冬を耐えた生命力が感じられる。,植物
haru,初春,下萌,したもえ,下萌え,3,,早春、去年の枯草に隠れるように草の芽が生え出ること。下萌の「下」は「枯草の下」の意。下萌には、確かな春の訪れと厳しい冬を耐えた生命力が感じられる。,植物
haru,初春,羊歯萌ゆ,しだもゆ,羊歯萌ゆ,4,,蕨、薇、こごみ、など食用になる羊歯類をはじめとし、山林や石垣、山中の渓谷沿いに生育する羊歯の類は多い。年間を通して枯れないものと、山菜のように春、新芽を出すものがある。拳を開くように巻葉がほどけてゆき、みずみずしい柔らかな新葉が群生したりしているさまは美しい。,植物
haru,初春,末黒の芒,すぐろのすすき,末黒の芒,4,黒生の芒/焼野の芒/芒の芽,春の野焼き（火入れ）のあとに、燃え残って黒く焦げたススキの株や切り株のこと。一面に広がる漆黒の焦土から、やがて鮮やかな緑の若草が芽生えてくる早春の力強い光景。,植物
haru,初春,末黒の芒,すぐろのすすき,すぐろのすすき,7,,春の野焼き（火入れ）のあとに、燃え残って黒く焦げたススキの株や切り株のこと。一面に広がる漆黒の焦土から、やがて鮮やかな緑の若草が芽生えてくる早春の力強い光景。,植物
haru,初春,末黒の芒,すぐろのすすき,末黒芒,3,,春の野焼き（火入れ）のあとに、燃え残って黒く焦げたススキの株や切り株のこと。一面に広がる漆黒の焦土から、やがて鮮やかな緑の若草が芽生えてくる早春の力強い光景。,植物
haru,初春,末黒の芒,すぐろのすすき,すぐろすすき,6,,春の野焼き（火入れ）のあとに、燃え残って黒く焦げたススキの株や切り株のこと。一面に広がる漆黒の焦土から、やがて鮮やかな緑の若草が芽生えてくる早春の力強い光景。,植物
haru,初春,雪割草,ゆきわりそう,雪割草,3,三角草、州浜草、洲浜細辛、洲浜菊,キンポウゲ科の多年草。本州から四国の早春の低山地で、雪解けを待って茎の先端に、白や淡紅、紅紫、青紫の花を一つつける。葉の形が婚礼の儀式などに用いられる洲浜台、また浜辺の洲浜のようであることから洲浜草とも呼ばれる。,植物
haru,初春,雪割草,ゆきわりそう,三角草,5,,キンポウゲ科の多年草。本州から四国の早春の低山地で、雪解けを待って茎の先端に、白や淡紅、紅紫、青紫の花を一つつける。葉の形が婚礼の儀式などに用いられる洲浜台、また浜辺の洲浜のようであることから洲浜草とも呼ばれる。,植物
haru,初春,雪割草,ゆきわりそう,州浜草,3,,キンポウゲ科の多年草。本州から四国の早春の低山地で、雪解けを待って茎の先端に、白や淡紅、紅紫、青紫の花を一つつける。葉の形が婚礼の儀式などに用いられる洲浜台、また浜辺の洲浜のようであることから洲浜草とも呼ばれる。,植物
haru,初春,雪割草,ゆきわりそう,ゆきわり草,3,,キンポウゲ科の多年草。本州から四国の早春の低山地で、雪解けを待って茎の先端に、白や淡紅、紅紫、青紫の花を一つつける。葉の形が婚礼の儀式などに用いられる洲浜台、また浜辺の洲浜のようであることから洲浜草とも呼ばれる。,植物
haru,初春,雪割草,ゆきわりそう,洲浜細辛,5,,キンポウゲ科の多年草。本州から四国の早春の低山地で、雪解けを待って茎の先端に、白や淡紅、紅紫、青紫の花を一つつける。葉の形が婚礼の儀式などに用いられる洲浜台、また浜辺の洲浜のようであることから洲浜草とも呼ばれる。,植物
haru,初春,雪割草,ゆきわりそう,洲浜菊,5,,キンポウゲ科の多年草。本州から四国の早春の低山地で、雪解けを待って茎の先端に、白や淡紅、紅紫、青紫の花を一つつける。葉の形が婚礼の儀式などに用いられる洲浜台、また浜辺の洲浜のようであることから洲浜草とも呼ばれる。,植物
haru,初春,節分草,せつぶんそう,節分草,3,いえにれ,本州以西の山地やブナ林の落葉広葉樹林に多く石灰岩地を好む。名の由来は節分の頃花が咲くことによる。花びらと見えるのは五つの萼片で花弁は退化して、黄色の蜜槽となっている。花は二センチくらい。全体でも五センチから十五センチほど。地中に球形の塊茎がある。,植物
haru,初春,節分草,せつぶんそう,いえにれ,4,,本州以西の山地やブナ林の落葉広葉樹林に多く石灰岩地を好む。名の由来は節分の頃花が咲くことによる。花びらと見えるのは五つの萼片で花弁は退化して、黄色の蜜槽となっている。花は二センチくらい。全体でも五センチから十五センチほど。地中に球形の塊茎がある。,植物
haru,初春,ちゃるめる草,ちゃるめるそう,ちゃるめる草,6,,ユキノシタ科の多年草。山地の渓流沿いや湿った岩場に自生する。早春、地味な暗紫色の小花を咲かせ、その熟した果実の形が屋台のラッパ（チャルメラ）に似ていることから名づけられた。,植物
haru,初春,ちゃるめる草,ちゃるめるそう,ちゃるめるそう,7,,ユキノシタ科の多年草。山地の渓流沿いや湿った岩場に自生する。早春、地味な暗紫色の小花を咲かせ、その熟した果実の形が屋台のラッパ（チャルメラ）に似ていることから名づけられた。,植物
haru,初春,ちゃるめる草,ちゃるめるそう,チャルメルソウ,7,,ユキノシタ科の多年草。山地の渓流沿いや湿った岩場に自生する。早春、地味な暗紫色の小花を咲かせ、その熟した果実の形が屋台のラッパ（チャルメラ）に似ていることから名づけられた。,植物
haru,初春,蓴生ふ,ぬなわおう,蓴生ふ,3,蓴菜生ふ,スイレン科の水草ジュンサイが、早春、池や沼の水底から若芽を伸ばし始めること。透明な寒天質のぬめりに包まれた若芽は高級な椀種として賞味され、水辺の春の目覚めを告げる。,植物
haru,初春,蓴生ふ,ぬなわおう,じゅんおう,5,,スイレン科の水草ジュンサイが、早春、池や沼の水底から若芽を伸ばし始めること。透明な寒天質のぬめりに包まれた若芽は高級な椀種として賞味され、水辺の春の目覚めを告げる。,植物
haru,初春,蓴生ふ,ぬなわおう,蓴菜生ふ,4,,スイレン科の水草ジュンサイが、早春、池や沼の水底から若芽を伸ばし始めること。透明な寒天質のぬめりに包まれた若芽は高級な椀種として賞味され、水辺の春の目覚めを告げる。,植物
haru,初春,蓴生ふ,ぬなわおう,ぬなわ生ふ,5,,スイレン科の水草ジュンサイが、早春、池や沼の水底から若芽を伸ばし始めること。透明な寒天質のぬめりに包まれた若芽は高級な椀種として賞味され、水辺の春の目覚めを告げる。,植物
haru,初春,蓴生ふ,ぬなわおう,じゅんさいおう,7,,スイレン科の水草ジュンサイが、早春、池や沼の水底から若芽を伸ばし始めること。透明な寒天質のぬめりに包まれた若芽は高級な椀種として賞味され、水辺の春の目覚めを告げる。,植物
haru,初春,猫の目草,ねこのめそう,猫の目草,4,山猫眼草/花猫眼草/蔓猫眼草/深山猫眼草,ユキノシタ科の多年草。山陰の湿地に自生し、早春に黄緑色の小花をつける。果実が熟して裂開したときの形と中の種子が、昼間の猫の細い瞳孔（目の瞳）に似ていることから名づけられた。,植物
haru,初春,猫の目草,ねこのめそう,ねこのめそう,6,,ユキノシタ科の多年草。山陰の湿地に自生し、早春に黄緑色の小花をつける。果実が熟して裂開したときの形と中の種子が、昼間の猫の細い瞳孔（目の瞳）に似ていることから名づけられた。,植物
haru,初春,猫の目草,ねこのめそう,ネコノメソウ,6,,ユキノシタ科の多年草。山陰の湿地に自生し、早春に黄緑色の小花をつける。果実が熟して裂開したときの形と中の種子が、昼間の猫の細い瞳孔（目の瞳）に似ていることから名づけられた。,植物
haru,初春,猫の目草,ねこのめそう,山猫眼草,6,,ユキノシタ科の多年草。山陰の湿地に自生し、早春に黄緑色の小花をつける。果実が熟して裂開したときの形と中の種子が、昼間の猫の細い瞳孔（目の瞳）に似ていることから名づけられた。,植物
haru,初春,猫の目草,ねこのめそう,花猫眼草,6,,ユキノシタ科の多年草。山陰の湿地に自生し、早春に黄緑色の小花をつける。果実が熟して裂開したときの形と中の種子が、昼間の猫の細い瞳孔（目の瞳）に似ていることから名づけられた。,植物
haru,初春,猫の目草,ねこのめそう,猫眼草,3,,ユキノシタ科の多年草。山陰の湿地に自生し、早春に黄緑色の小花をつける。果実が熟して裂開したときの形と中の種子が、昼間の猫の細い瞳孔（目の瞳）に似ていることから名づけられた。,植物
haru,初春,猫柳,ねこやなぎ,猫柳,2,ゑのころやなぎ、川柳,水辺に自生しているヤナギ科の植物。早春、葉が出る前に銀鼠色 の毛におおわれた三～四センチ程の花穂を上向きにつける。その やわらかな、ふっくらとした感じが猫のようだというので名が付 いた。,植物
haru,初春,猫柳,ねこやなぎ,狗尾柳,3,,水辺に自生しているヤナギ科の植物。早春、葉が出る前に銀鼠色 の毛におおわれた三～四センチ程の花穂を上向きにつける。その やわらかな、ふっくらとした感じが猫のようだというので名が付 いた。,植物
haru,初春,猫柳,ねこやなぎ,猫やなぎ,4,,水辺に自生しているヤナギ科の植物。早春、葉が出る前に銀鼠色 の毛におおわれた三～四センチ程の花穂を上向きにつける。その やわらかな、ふっくらとした感じが猫のようだというので名が付 いた。,植物
haru,初春,猫柳,ねこやなぎ,ゑのころやなぎ,7,,水辺に自生しているヤナギ科の植物。早春、葉が出る前に銀鼠色 の毛におおわれた三～四センチ程の花穂を上向きにつける。その やわらかな、ふっくらとした感じが猫のようだというので名が付 いた。,植物
haru,初春,猫柳,ねこやなぎ,川柳,2,,水辺に自生しているヤナギ科の植物。早春、葉が出る前に銀鼠色 の毛におおわれた三～四センチ程の花穂を上向きにつける。その やわらかな、ふっくらとした感じが猫のようだというので名が付 いた。,植物
haru,初春,海苔,のり,海苔,2,篊菜、紫海苔、甘海苔、篊海苔、浅草海苔、葛西海苔、十六島海苔,水の中の岩などに育つ苔状の食用藻類の総称。とくに全国各地に生育する浅草海苔を指すことが多い。海苔の採取は、九月の頃に竹で作った海苔ひびや、楢や樫の枝を用いた海苔粗朶を真水と海水の混じり合う域に仕込み、海苔の付着を待つ。,植物
haru,初春,海苔,のり,篊菜,2,,水の中の岩などに育つ苔状の食用藻類の総称。とくに全国各地に生育する浅草海苔を指すことが多い。海苔の採取は、九月の頃に竹で作った海苔ひびや、楢や樫の枝を用いた海苔粗朶を真水と海水の混じり合う域に仕込み、海苔の付着を待つ。,植物
haru,初春,海苔,のり,紫海苔,3,,水の中の岩などに育つ苔状の食用藻類の総称。とくに全国各地に生育する浅草海苔を指すことが多い。海苔の採取は、九月の頃に竹で作った海苔ひびや、楢や樫の枝を用いた海苔粗朶を真水と海水の混じり合う域に仕込み、海苔の付着を待つ。,植物
haru,初春,海苔,のり,甘海苔,3,,水の中の岩などに育つ苔状の食用藻類の総称。とくに全国各地に生育する浅草海苔を指すことが多い。海苔の採取は、九月の頃に竹で作った海苔ひびや、楢や樫の枝を用いた海苔粗朶を真水と海水の混じり合う域に仕込み、海苔の付着を待つ。,植物
haru,初春,海苔,のり,篊海苔,3,,水の中の岩などに育つ苔状の食用藻類の総称。とくに全国各地に生育する浅草海苔を指すことが多い。海苔の採取は、九月の頃に竹で作った海苔ひびや、楢や樫の枝を用いた海苔粗朶を真水と海水の混じり合う域に仕込み、海苔の付着を待つ。,植物
haru,初春,海苔,のり,浅草海苔,4,,水の中の岩などに育つ苔状の食用藻類の総称。とくに全国各地に生育する浅草海苔を指すことが多い。海苔の採取は、九月の頃に竹で作った海苔ひびや、楢や樫の枝を用いた海苔粗朶を真水と海水の混じり合う域に仕込み、海苔の付着を待つ。,植物
haru,初春,海苔,のり,葛西海苔,4,,水の中の岩などに育つ苔状の食用藻類の総称。とくに全国各地に生育する浅草海苔を指すことが多い。海苔の採取は、九月の頃に竹で作った海苔ひびや、楢や樫の枝を用いた海苔粗朶を真水と海水の混じり合う域に仕込み、海苔の付着を待つ。,植物
haru,初春,海苔,のり,十六島海苔,5,,水の中の岩などに育つ苔状の食用藻類の総称。とくに全国各地に生育する浅草海苔を指すことが多い。海苔の採取は、九月の頃に竹で作った海苔ひびや、楢や樫の枝を用いた海苔粗朶を真水と海水の混じり合う域に仕込み、海苔の付着を待つ。,植物
haru,初春,はこべ,はこべ,はこべ,3,,春の七草の一つ。野原や道端に自生する。春、五弁の白い小花をつける。食用とするほか、利尿剤や歯磨き粉にもする。小鳥や兎の餌にもなる。,植物
haru,初春,はこべ,はこべ,繁縷,2,,春の七草の一つ。野原や道端に自生する。春、五弁の白い小花をつける。食用とするほか、利尿剤や歯磨き粉にもする。小鳥や兎の餌にもなる。,植物
haru,初春,はこべ,はこべ,はこべら,4,,春の七草の一つ。野原や道端に自生する。春、五弁の白い小花をつける。食用とするほか、利尿剤や歯磨き粉にもする。小鳥や兎の餌にもなる。,植物
haru,初春,はこべ,はこべ,はくべら,4,,春の七草の一つ。野原や道端に自生する。春、五弁の白い小花をつける。食用とするほか、利尿剤や歯磨き粉にもする。小鳥や兎の餌にもなる。,植物
haru,初春,はこべ,はこべ,うしはこべ,5,,春の七草の一つ。野原や道端に自生する。春、五弁の白い小花をつける。食用とするほか、利尿剤や歯磨き粉にもする。小鳥や兎の餌にもなる。,植物
haru,初春,はこべ,はこべ,あさしらげ,5,,春の七草の一つ。野原や道端に自生する。春、五弁の白い小花をつける。食用とするほか、利尿剤や歯磨き粉にもする。小鳥や兎の餌にもなる。,植物
haru,初春,はこべ,はこべ,みきくさ,4,,春の七草の一つ。野原や道端に自生する。春、五弁の白い小花をつける。食用とするほか、利尿剤や歯磨き粉にもする。小鳥や兎の餌にもなる。,植物
haru,初春,薔薇の芽,ばらのめ,薔薇の芽,4,,多くの薔薇は三月頃から芽が伸び始める。色は若緑から赤味の強い緑まで品種により様々。,植物
haru,初春,赤楊の花,はんのきのはな,赤楊の花,4,はりの木の花/榛の花,ハンノキはカバノキ科ハンノキ属の落葉高木。日本各地の山野に自生する。湿地に適するので畦などに植えて稲架木として利用したりする。二月から三月に開花する。褐色の雄花は尾状にたれさがり、褐色で球状の雌花は雄花の花序の下の葉腋に三、四個ほどつく。,植物
haru,初春,赤楊の花,はんのきのはな,はりの木の花,6,,ハンノキはカバノキ科ハンノキ属の落葉高木。日本各地の山野に自生する。湿地に適するので畦などに植えて稲架木として利用したりする。二月から三月に開花する。褐色の雄花は尾状にたれさがり、褐色で球状の雌花は雄花の花序の下の葉腋に三、四個ほどつく。,植物
haru,初春,赤楊の花,はんのきのはな,榛の花,3,,ハンノキはカバノキ科ハンノキ属の落葉高木。日本各地の山野に自生する。湿地に適するので畦などに植えて稲架木として利用したりする。二月から三月に開花する。褐色の雄花は尾状にたれさがり、褐色で球状の雌花は雄花の花序の下の葉腋に三、四個ほどつく。,植物
haru,初春,赤楊の花,はんのきのはな,ハンノキの花,6,,ハンノキはカバノキ科ハンノキ属の落葉高木。日本各地の山野に自生する。湿地に適するので畦などに植えて稲架木として利用したりする。二月から三月に開花する。褐色の雄花は尾状にたれさがり、褐色で球状の雌花は雄花の花序の下の葉腋に三、四個ほどつく。,植物
haru,初春,赤楊の花,はんのきのはな,はんの木の花,6,,ハンノキはカバノキ科ハンノキ属の落葉高木。日本各地の山野に自生する。湿地に適するので畦などに植えて稲架木として利用したりする。二月から三月に開花する。褐色の雄花は尾状にたれさがり、褐色で球状の雌花は雄花の花序の下の葉腋に三、四個ほどつく。,植物
haru,初春,蕗の薹,ふきのとう,蕗の薹,3,蕗の芽、蕗の花、蕗のしゆうとめ,早春、残雪の隙間からいち早く顔を出すフキの花茎。独特のほろ苦い風味と爽やかな香りが春の味覚を代表する。,植物
haru,初春,蕗の薹,ふきのとう,蕗の芽,3,,早春、残雪の隙間からいち早く顔を出すフキの花茎。独特のほろ苦い風味と爽やかな香りが春の味覚を代表する。,植物
haru,初春,蕗の薹,ふきのとう,蕗の芽,3,,早春、残雪の隙間からいち早く顔を出すフキの花茎。独特のほろ苦い風味と爽やかな香りが春の味覚を代表する。,植物
haru,初春,蕗の薹,ふきのとう,蕗の花,3,,早春、残雪の隙間からいち早く顔を出すフキの花茎。独特のほろ苦い風味と爽やかな香りが春の味覚を代表する。,植物
haru,初春,蕗の薹,ふきのとう,蕗のしゆうとめ,7,,早春、残雪の隙間からいち早く顔を出すフキの花茎。独特のほろ苦い風味と爽やかな香りが春の味覚を代表する。,植物
haru,初春,蕗の薹,ふきのとう,蕗のたう,4,,早春、残雪の隙間からいち早く顔を出すフキの花茎。独特のほろ苦い風味と爽やかな香りが春の味覚を代表する。,植物
haru,初春,蕗の薹,ふきのとう,ふきのたう,5,,早春、残雪の隙間からいち早く顔を出すフキの花茎。独特のほろ苦い風味と爽やかな香りが春の味覚を代表する。,植物
haru,初春,蕗の薹,ふきのとう,ふきのとう,5,,早春、残雪の隙間からいち早く顔を出すフキの花茎。独特のほろ苦い風味と爽やかな香りが春の味覚を代表する。,植物
haru,初春,菠薐草,ほうれんそう,菠薐草,3,法蓮草/鳳蓮草,食卓にのぼる野菜として、広く親しまれている。晩秋に種を蒔き、二三月頃、花茎が立つ前に収穫する。栄養豊富で美味。世界中で食用されている。日本へは十六世紀に渡来。おひたしや和え物などにする。,植物
haru,初春,菠薐草,ほうれんそう,法蓮草,3,,食卓にのぼる野菜として、広く親しまれている。晩秋に種を蒔き、二三月頃、花茎が立つ前に収穫する。栄養豊富で美味。世界中で食用されている。日本へは十六世紀に渡来。おひたしや和え物などにする。,植物
haru,初春,菠薐草,ほうれんそう,鳳蓮草,3,,食卓にのぼる野菜として、広く親しまれている。晩秋に種を蒔き、二三月頃、花茎が立つ前に収穫する。栄養豊富で美味。世界中で食用されている。日本へは十六世紀に渡来。おひたしや和え物などにする。,植物
haru,初春,菠薐草,ほうれんそう,ほうれん草,5,,食卓にのぼる野菜として、広く親しまれている。晩秋に種を蒔き、二三月頃、花茎が立つ前に収穫する。栄養豊富で美味。世界中で食用されている。日本へは十六世紀に渡来。おひたしや和え物などにする。,植物
haru,初春,菠薐草,ほうれんそう,はうれん草,5,,食卓にのぼる野菜として、広く親しまれている。晩秋に種を蒔き、二三月頃、花茎が立つ前に収穫する。栄養豊富で美味。世界中で食用されている。日本へは十六世紀に渡来。おひたしや和え物などにする。,植物
haru,初春,牡丹の芽,ぼたんのめ,牡丹の芽,4,,奈良時代に中国から渡来した落葉低木。寒さに強く、冬の間から地中で活動を始め、早春に芽が膨らむ。朱色の太い芽には生命力 があり、春の到来を教えてくれる。,植物
haru,初春,盆梅,ぼんばい,盆梅,2,鉢の梅,盆栽の梅のこと。平安時代には、貴族や一部の僧侶などの趣味であったが、江戸時代末期には庶民にも広まった。樹齢四百年を越える老木などもある。,植物
haru,初春,盆梅,ぼんばい,鉢の梅,3,,盆栽の梅のこと。平安時代には、貴族や一部の僧侶などの趣味であったが、江戸時代末期には庶民にも広まった。樹齢四百年を越える老木などもある。,植物
haru,初春,松雪草,まつゆきそう,松雪草,3,ゆきのはな/スノードロップ,ヒガンバナ科の球根植物スノードロップのこと。まだ雪が残る早春の大地に、可憐な白い鐘形の花を下向きに咲かせる。「雪を待つ草」あるいは「雪を払って咲く草」として春の希望を象徴する。,植物
haru,初春,松雪草,まつゆきそう,スノードロップ,7,,ヒガンバナ科の球根植物スノードロップのこと。まだ雪が残る早春の大地に、可憐な白い鐘形の花を下向きに咲かせる。「雪を待つ草」あるいは「雪を払って咲く草」として春の希望を象徴する。,植物
haru,初春,松雪草,まつゆきそう,まつゆきそう,6,,ヒガンバナ科の球根植物スノードロップのこと。まだ雪が残る早春の大地に、可憐な白い鐘形の花を下向きに咲かせる。「雪を待つ草」あるいは「雪を払って咲く草」として春の希望を象徴する。,植物
haru,初春,松雪草,まつゆきそう,ゆきのはな,3,,ヒガンバナ科の球根植物スノードロップのこと。まだ雪が残る早春の大地に、可憐な白い鐘形の花を下向きに咲かせる。「雪を待つ草」あるいは「雪を払って咲く草」として春の希望を象徴する。,植物
